,licese_year,region,license_count,x_point,y_point,accident_year,accident_outcome,accident_count
126,1996,Makkah,46195,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
127,1996,Makkah,46195,21.628962766,41.2636898334,2016,No. of Accidents,134838
128,1996,Makkah,46195,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
129,1996,Makkah,46195,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
130,1996,Makkah,46195,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
131,1996,Makkah,46195,21.628962766,41.2636898334,2017,No. of Accidents,145541
132,2002,Makkah,88593,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
133,2002,Makkah,88593,21.628962766,41.2636898334,2016,No. of Accidents,134838
134,2002,Makkah,88593,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
135,2002,Makkah,88593,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
136,2002,Makkah,88593,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
137,2002,Makkah,88593,21.628962766,41.2636898334,2017,No. of Accidents,145541
138,2003,Makkah,74236,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
139,2003,Makkah,74236,21.628962766,41.2636898334,2016,No. of Accidents,134838
140,2003,Makkah,74236,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
141,2003,Makkah,74236,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
142,2003,Makkah,74236,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
143,2003,Makkah,74236,21.628962766,41.2636898334,2017,No. of Accidents,145541
144,2007,Makkah,91902,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
145,2007,Makkah,91902,21.628962766,41.2636898334,2016,No. of Accidents,134838
146,2007,Makkah,91902,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
147,2007,Makkah,91902,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
148,2007,Makkah,91902,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
149,2007,Makkah,91902,21.628962766,41.2636898334,2017,No. of Accidents,145541
150,2014,Madinah,31447,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
151,2014,Madinah,31447,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
152,2014,Madinah,31447,24.927534539,39.4918237173,2016,No. of Accidents,14475
153,2014,Madinah,31447,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
154,2014,Madinah,31447,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
155,2014,Madinah,31447,24.927534539,39.4918237173,2017,No. of Accidents,16070
156,2013,Madinah,28513,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
157,2013,Madinah,28513,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
158,2013,Madinah,28513,24.927534539,39.4918237173,2016,No. of Accidents,14475
159,2013,Madinah,28513,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
160,2013,Madinah,28513,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
161,2013,Madinah,28513,24.927534539,39.4918237173,2017,No. of Accidents,16070
162,2012,Madinah,14459,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
163,2012,Madinah,14459,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
164,2012,Madinah,14459,24.927534539,39.4918237173,2016,No. of Accidents,14475
165,2012,Madinah,14459,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
166,2012,Madinah,14459,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
167,2012,Madinah,14459,24.927534539,39.4918237173,2017,No. of Accidents,16070
168,1994,Madinah,3767,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
169,1994,Madinah,3767,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
170,1994,Madinah,3767,24.927534539,39.4918237173,2016,No. of Accidents,14475
171,1994,Madinah,3767,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
172,1994,Madinah,3767,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
173,1994,Madinah,3767,24.927534539,39.4918237173,2017,No. of Accidents,16070
174,1998,Madinah,13020,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
175,1998,Madinah,13020,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
176,1998,Madinah,13020,24.927534539,39.4918237173,2016,No. of Accidents,14475
177,1998,Madinah,13020,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
178,1998,Madinah,13020,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
179,1998,Madinah,13020,24.927534539,39.4918237173,2017,No. of Accidents,16070
